Audio_Id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Album_Name,Album_Type,Album_Total_Tracks,Album_Popularity,Year,Month,Day,Track_Name,Track_Popularity,Duration,Track_Number,Disc Number,Artist_Name,Artist_Followers,Artist_Popularity
1507,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4.0,Future Nostalgia,album,11,82,2020,3,27,Break My Heart,73,221820,9,1,Dua Lipa,45201667,88
1509,0.627,0.699,10.0,-4.504,1.0,0.0244,0.174,0.0,0.0789,0.535,94.003,4.0,The Script,album,10,59,2008,9,8,Breakeven,62,261426,5,1,The Script,8365493,78
1510,0.192,0.212,0.0,-13.018,1.0,0.0356,0.889,6.48e-05,0.162,0.212,86.984,3.0,Duets,compilation,19,47,2002,11,26,You Don't Bring Me Flowers (with Neil Diamond),35,204200,3,1,Barbra Streisand,1587359,65
1511,0.715,0.823,5.0,-5.313,0.0,0.0495,0.133,0.0,0.361,0.91,151.956,4.0,No.6 Collaborations Project,album,15,42,2019,7,12,Antisocial (with Travis Scott),36,161746,7,1,Ed Sheeran,117871001,90
1512,0.513,0.717,11.0,-5.382,0.0,0.0619,0.0878,0.0,0.105,0.457,123.419,4.0,MacGruber,compilation,19,39,2010,1,1,Harden My Heart,44,232533,11,1,Quarterflash,129333,42
1513,0.587,0.742,6.0,-6.64,0.0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4.0,Miss You,single,1,15,2022,8,5,Miss You,20,206000,1,1,Oliver Tree,2505704,71
1514,0.584,0.489,8.0,-6.182,1.0,0.0277,0.755,0.0,0.133,0.777,121.891,4.0,Up on the Roof: The Best of the Drifters,compilation,14,45,2005,2,8,Up on the Roof,39,155053,1,1,The Drifters,565917,65
1515,0.774,0.85,0.0,-4.436,1.0,0.0326,0.0837,0.0,0.193,0.53,127.031,4.0,Twenty Ten,album,30,50,2010,11,19,Who's That Girl (feat. Eve),52,220440,1,1,Guy Sebastian,546186,58
1517,0.739,0.597,0.0,-5.335,0.0,0.0801,0.0997,0.0,0.119,0.787,104.991,4.0,Boys Like You,single,1,43,2015,11,23,Boys Like You,48,194533,1,1,Who Is Fancy,36661,37
1518,0.479,0.787,6.0,-8.438,0.0,0.0405,0.000236,4.2e-06,0.331,0.45,152.875,4.0,New Miserable Experience,album,12,35,1992,1,1,Hey Jealousy,38,236440,2,1,Gin Blossoms,702332,57
1519,0.489,0.879,9.0,-3.787,1.0,0.0688,0.00092,0.00285,0.248,0.741,156.576,4.0,In The Summertime,single,4,44,2005,7,5,In the Summertime - Single Version,50,228560,1,1,Thirsty Merc,92531,47
1521,0.843,0.702,6.0,-4.981,0.0,0.0462,0.0499,0.000306,0.308,0.882,125.464,4.0,The Essential Michael Jackson,compilation,38,66,2005,7,19,"Can You Feel It - 7"" Version",46,230773,14,1,The Jacksons,1920332,59
1522,0.592,0.747,8.0,-4.439,0.0,0.138,0.0176,0.0,0.0752,0.698,83.929,4.0,Love?,album,17,73,2011,4,29,I'm Into You,58,200133,3,1,Jennifer Lopez,13354430,77
1523,0.569,0.83,9.0,-4.106,0.0,0.14,0.0807,0.0,0.114,0.609,170.094,4.0,A Fever You Can't Sweat Out,album,13,71,2005,9,27,I Write Sins Not Tragedies,71,186634,10,1,Panic! At The Disco,12448611,78
1524,0.712,0.936,2.0,-4.246,1.0,0.0364,0.177,0.000837,0.0443,0.917,118.425,4.0,Milk And Honey,album,12,44,1984,1,27,Nobody Told Me - Remastered 2010,45,214280,5,1,John Lennon,6270838,77
1525,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,4.0,Happiness Begins,album,14,74,2019,6,7,Sucker,76,181026,1,1,Jonas Brothers,7675941,77
1526,0.694,0.724,9.0,-6.775,0.0,0.0463,0.0261,0.0,0.0782,0.865,127.247,4.0,Autumnal Park,album,10,35,1984,1,1,A Beat For You,32,221071,1,1,Pseudo Echo,59975,36
1527,0.503,0.803,0.0,-9.701,1.0,0.0485,0.01,0.0648,0.292,0.941,179.007,4.0,Turning Japanese - Best Of The Vapors,compilation,20,42,1996,11,11,Turning Japanese,47,225186,1,1,The Vapors,52929,40
1528,0.747,0.83,9.0,-5.426,1.0,0.0899,0.0214,0.00024,0.0639,0.64,123.988,4.0,Can't Believe It (feat. Pitbull),single,1,46,2013,7,29,Can't Believe It (feat. Pitbull),51,223203,1,1,Flo Rida,8748389,81
1529,0.477,0.231,2.0,-11.842,0.0,0.0259,0.857,0.497,0.0638,0.246,98.226,4.0,All-Time Great Movie Themes,album,22,32,1993,2,9,Exodus,21,176760,2,1,Ernest Gold,2846,27
1530,0.499,0.981,1.0,-2.239,0.0,0.0625,0.193,0.0102,0.296,0.639,155.571,4.0,"10,9,8,7,6,5,4,3,2,1",album,10,49,1982,11,22,Read About It - Remastered Version,36,232466,4,1,Midnight Oil,830257,60
1531,0.579,0.549,5.0,-8.262,0.0,0.0909,0.104,0.0202,0.0964,0.155,119.74,4.0,Netzwerk,album,11,65,2014,1,1,Sonnentanz - Sun Don't Shine,68,238120,11,1,Klangkarussell,424888,62
1532,0.629,0.698,6.0,-5.639,0.0,0.103,0.0472,0.00152,0.0949,0.73,89.969,4.0,Cheap Thrills,single,1,31,2015,12,17,Cheap Thrills,36,210973,1,1,Sia,29067865,88
1533,0.664,0.627,5.0,-7.114,1.0,0.0422,0.292,0.0,0.062,0.461,114.898,4.0,A Place We Knew,album,12,77,2019,3,22,Straight Back Down,43,205346,8,1,Dean Lewis,3436667,77
1534,0.384,0.846,7.0,-5.591,1.0,0.0365,0.151,7.73e-05,0.0913,0.272,90.172,4.0,Whitesnake (30th Anniversary Edition),album,11,44,1987,4,7,Here I Go Again - 1987 Version; 2017 Remaster,41,275693,5,1,Whitesnake,3085545,64
1535,0.851,0.514,4.0,-15.279,0.0,0.165,0.000928,3.58e-06,0.381,0.573,100.425,4.0,To The Extreme,album,15,55,1990,1,1,Play That Funky Music,37,285800,7,1,Vanilla Ice,553762,58
1536,0.494,0.632,5.0,-6.89,1.0,0.0342,0.682,0.0,0.0869,0.0797,147.873,4.0,Look Up Child,album,13,72,2018,9,7,You Say,71,274693,5,1,Lauren Daigle,2900239,71
1537,0.577,0.903,7.0,-3.954,1.0,0.0557,0.0114,0.0,0.133,0.545,140.227,4.0,Modern Artillery,album,14,0,2003,10,28,Who's Gonna Save Us?,0,201293,3,1,The Living End,149194,49
1538,0.707,0.861,7.0,-4.225,1.0,0.316,0.1,0.0,0.191,0.795,130.021,4.0,Sorry For Party Rocking (Deluxe Version),album,14,58,2011,1,1,Sexy And I Know It,60,199480,4,1,LMFAO,4263290,68
1539,0.651,0.892,4.0,-6.551,1.0,0.0313,0.00465,2.85e-06,0.127,0.962,135.309,4.0,1 (Remastered),compilation,27,71,2000,11,13,The Ballad Of John And Yoko - Remastered 2015,49,179480,23,1,The Beatles,28978642,86
1540,0.876,0.716,1.0,-6.884,1.0,0.135,0.0468,0.000482,0.0667,0.755,131.942,4.0,See Clear Now,album,11,47,2008,11,10,Wearing My Rolex - Radio Edit,52,170480,2,1,Wiley,356062,57
1541,0.615,0.477,2.0,-8.816,1.0,0.092,0.0558,6.25e-05,0.231,0.731,156.008,4.0,Time's Up,album,15,42,1990,8,28,Love Rears Its Ugly Head,44,259466,4,1,Living Colour,414117,53
1542,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4.0,Don't Start Now,single,1,64,2019,10,31,Don't Start Now,70,183290,1,1,Dua Lipa,45201667,88
1543,0.423,0.954,7.0,-3.157,0.0,0.047,0.0021,0.0,0.177,0.5,144.553,4.0,Core,album,12,61,1992,9,29,Plush,63,310346,9,1,Stone Temple Pilots,3663774,69
1544,0.672,0.642,5.0,-4.035,1.0,0.0313,0.0981,0.0,0.1,0.494,121.981,4.0,Plastic Hearts,album,15,50,2020,11,27,Angels Like You,54,196453,3,1,Miley Cyrus,25221661,84
1545,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,4.0,Body,single,1,0,2018,4,13,Body,1,163216,1,1,Loud Luxury,670106,68
1546,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,4.0,evermore,album,15,81,2020,12,11,willow,73,214706,1,1,Taylor Swift,128251709,100
1547,0.574,0.666,2.0,-7.875,0.0,0.0641,0.303,1.32e-05,0.0582,0.188,135.21,4.0,Summer: The Original Hits,compilation,20,46,2018,4,20,No More Tears (Enough Is Enough),37,288426,9,1,Donna Summer,2049476,65
1548,0.652,0.749,0.0,-5.248,1.0,0.0886,0.0848,0.0,0.604,0.651,94.103,4.0,4,album,14,73,2011,6,24,Love On Top,70,267413,1,1,Beyoncé,39210349,87
1549,0.644,0.698,11.0,-11.87,0.0,0.0356,0.0155,0.00136,0.296,0.782,119.99,4.0,Age Of Reason,album,12,47,1988,7,22,Age of Reason,39,306266,1,1,John Farnham,359686,57
1550,0.751,0.736,5.0,-4.168,0.0,0.156,0.0206,0.0,0.265,0.352,130.014,4.0,Sorry For Party Rocking,album,16,58,2010,12,1,Party Rock Anthem,59,262146,3,1,LMFAO,4263290,68
1551,0.603,0.782,1.0,-6.356,1.0,0.0311,0.00553,1.84e-06,0.0774,0.251,93.984,4.0,Wake Up (Deluxe),album,18,51,2015,10,13,Wake Up,44,193511,1,1,The Vamps,5903801,67
1552,0.765,0.784,7.0,-5.215,0.0,0.0488,0.0222,0.00121,0.187,0.449,109.956,4.0,SoulMate,single,1,30,2018,7,3,SoulMate,35,196231,1,1,Justin Timberlake,14830276,82
1553,0.544,0.897,3.0,-6.056,0.0,0.0471,0.241,0.0,0.13,0.647,157.17,4.0,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",compilation,15,70,1997,3,25,"Danger Zone - From ""Top Gun"" Original Soundtrack",71,215133,5,1,Kenny Loggins,1149589,68
1554,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4.0,Anyone,single,1,58,2021,1,1,Anyone,63,190779,1,1,Justin Bieber,79449393,92
1555,0.651,0.754,4.0,-9.373,1.0,0.0293,0.00692,0.00195,0.161,0.936,140.782,4.0,Trampoline,album,15,47,1998,1,1,Dance The Night Away,52,262640,1,1,The Mavericks,198293,52
