Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Album_Total_Tracks,Album_Popularity,Track_Popularity,Duration,Artist_Followers,Artist_Popularity
0.825,0.743,0.005469788049366525,0.149,0.0142,2.12e-05,0.237,0.8,0.20357589958256322,0.27114267719403135,56,56,0.28345448830163655,0.4646596146995121,86
0.677,0.665,0.238134684745726,0.0305,0.56,1.01e-06,0.338,0.706,-1.7256531358639737,0.3942442336153424,77,49,1.4674596159795614,0.5679218964679266,84
0.683,0.728,-0.8995016001358578,0.259,0.568,5.08e-05,0.0384,0.833,-1.7096330329026082,2.3252527561302885,0,0,0.2156556799867033,0.046868714889193745,67
0.56,0.68,-0.4895420361830645,0.321,0.555,0.0,0.116,0.319,-1.0837033395259783,-3.9512752546325194,64,69,-1.0485718811136524,-0.17198256633181283,79
0.48,0.628,-0.4879831673193679,0.0262,0.174,3.28e-05,0.0753,0.541,0.6482298006560437,-2.543802610690336,54,55,0.34496065540703463,0.5370764659902436,85
0.852,0.874,-1.7134213797120614,0.0427,0.0168,0.45,0.133,0.666,0.2604132395122538,0.7242476640644173,56,61,0.5209701715842499,-0.14100450762206398,66
0.557,0.533,-0.23572258081377875,0.0252,0.0492,0.0,0.205,0.233,0.663097501463061,-0.15048022473399125,74,75,0.312522237185805,0.2035307568145683,73
0.26,0.659,-0.9195292423378986,0.0625,0.114,2.95e-05,0.499,0.537,1.5713992960195198,1.2569924192081925,53,24,-1.7056168766320963,-0.17564626900731536,65
0.818,0.67,0.434485603214882,0.0472,0.304,1.22e-06,0.0601,0.939,-0.005983564973567641,0.3942442336153424,83,65,0.25191197845804036,1.1598252535493234,90
0.261,0.302,-0.6609044024755849,0.0339,0.769,2.57e-06,0.0863,0.0883,-1.4250468286991647,-3.9512752546325194,55,61,0.9806198038984368,0.7027770561836639,84
0.862,0.624,-1.87602701321954,0.0565,0.0192,0.000153,0.0465,0.882,0.1410094182747009,0.7242476640644173,61,67,0.582355944366417,-0.22100002955487755,65
0.393,0.958,1.034789016193736,0.0871,0.00966,0.0,0.214,0.323,0.8149426582117292,-0.31301124925111484,46,42,0.312522237185805,-0.7526062836463795,41
0.609,0.895,-0.6666779353803036,0.0695,0.162,0.504,0.522,0.792,0.08795505181135123,3.1175700500207615,2,0,-1.1940747179606008,-1.3506299453558002,30
0.455,0.296,-0.7653382943570732,0.0399,0.761,0.0,0.0783,0.31,1.310433081073135,0.7242476640644173,57,31,-0.26106660992299724,0.14443731723632505,71
0.596,0.738,0.7845652017743197,0.0411,0.109,0.0,0.0947,0.461,0.22992597264554857,0.5103074682459219,57,61,-0.08989495804048885,0.2850951270368976,76
0.592,0.767,0.8654367497864804,0.027,0.0021,0.00165,0.127,0.328,-0.8044899564816133,0.27114267719403135,66,55,1.697162274747952,0.6634461371038869,84
0.488,0.364,-3.84882417837644,0.0321,0.0714,0.0,0.0756,0.544,-1.5025952901139437,-0.31301124925111484,35,38,1.2604181685484825,-1.3932788444909718,34
0.659,0.812,-0.4432560557950661,0.0487,0.23,0.0,0.0951,0.888,-1.3541483132843624,-0.15048022473399125,68,70,0.24737387832616262,-0.264573770622943,65
0.672,0.393,-0.8394760675263764,0.0477,0.551,1.05e-05,0.105,0.319,0.29034093746272777,-0.15048022473399125,41,22,0.8953422285370938,-0.8847611018497118,43
0.68,0.543,-3.2948445945697435,0.141,0.857,0.000116,0.0881,0.796,-0.2709235991761235,-0.15048022473399125,55,57,0.16390769346165734,-0.8727424716533775,47
0.59,0.874,0.9165340905118111,0.0263,0.0179,6.46e-06,0.134,0.607,0.14458984948575584,-1.4074726439421843,22,23,0.19696911944497003,-0.022158222965823433,65
0.864,0.515,-0.28077225346673873,0.0367,0.571,7.92e-05,0.0947,0.755,0.2609533460426411,-0.15048022473399125,57,62,0.4217524471860989,-0.0074759537471217035,72
0.681,0.372,-0.675991125985784,0.0432,0.64,0.0,0.169,0.476,-0.9835699437859858,0.1400937376192711,76,80,-0.42512656516540476,0.7027770561836639,84
0.924,0.853,1.2499069179896038,0.0792,0.107,1.45e-06,0.129,0.67,-0.19352171368367077,1.5475663815614549,75,60,0.8340785711683423,1.0952838938608107,93
0.807,0.887,0.582731568630119,0.275,0.00381,0.0,0.391,0.78,1.0620230207354253,-3.9512752546325194,49,54,-1.84775666940642,-1.0454208609372873,43
0.536,0.606,0.18442131511601914,0.0355,0.103,1.08e-05,0.255,0.719,0.7245609820634568,1.1773526509348033,0,0,-0.3142410605330653,-0.3052017362153611,61
0.836,0.544,0.011222221810474685,0.0943,0.0403,0.0,0.0824,0.51,-0.7838810853468569,0.5103074682459219,78,74,-0.07807492064990575,0.8782146054338916,88
0.951,0.6,0.37406607175437634,0.0685,0.106,0.0,0.0712,0.822,0.1452351321079739,0.6200938700464856,74,77,-0.06575770049465403,0.2289302830019199,82
0.719,0.616,0.5672520594348016,0.0395,0.00683,3.11e-05,0.0742,0.625,0.1429761499472913,-0.897165175696261,71,54,-0.42768711191808434,0.3956898856223932,81
0.737,0.784,-0.5692557092106095,0.0777,0.00682,0.2,0.537,0.587,-0.6817920359143342,0.3942442336153424,41,47,-0.2035371219246073,-0.7931033743578665,47
0.632,0.88,0.540926512640362,0.0463,0.0144,0.0021,0.118,0.338,0.2597877543980138,-0.4896925317540781,60,58,2.5627344766709617,0.15607424192859742,77
0.574,0.238,-5.107898205784951,0.0476,0.365,1.32e-05,0.126,0.126,-1.3102348526246328,1.4787274568583815,47,45,0.6441886803972185,-0.4388982531916977,53
0.561,0.522,0.04505276203251286,0.0318,0.227,0.0,0.104,0.238,-1.312670520069223,0.27114267719403135,61,63,0.8689230814627613,0.11703826417466809,78
0.521,0.877,0.16201878161344246,0.0683,0.0132,0.0806,0.0929,0.199,1.483154761038544,-3.9512752546325194,48,54,-0.33631111835599836,0.7484943197971512,88
0.813,0.732,0.10791821855926961,0.03,0.0597,0.00137,0.0826,0.731,0.28847930151907536,-3.9512752546325194,62,67,-0.5334394319353208,0.5218039209532467,85
0.742,0.533,-0.9591077532971117,0.0288,0.459,0.148,0.064,0.391,-0.7700676403307127,-1.7204838931932986,60,66,1.689522487967453,-0.15188816378237227,63
0.464,0.321,-1.6800468519503244,0.0418,0.877,0.0,0.0789,0.306,-0.9182771640266788,0.3942442336153424,83,56,0.5573234986899334,1.1598252535493234,90
0.69,0.622,0.27845894299339935,0.0622,0.253,0.0,0.116,0.544,-0.5995554024339133,-3.9512752546325194,67,72,-0.23547970398042803,0.2850951270368976,76
0.638,0.803,0.15556295821707905,0.0681,0.0244,0.0,0.169,0.756,0.23204651295548215,0.0,61,38,-0.8037182586231233,0.10187235499624515,67
0.604,0.788,0.639851906389242,0.103,0.0678,0.153,0.127,0.301,0.1750297727216635,0.0,52,54,0.4243253826197549,0.7220162258017876,90
0.667,0.373,-1.0578122848692584,0.05,0.785,0.0,0.0906,0.0823,0.11898112699758362,-3.9512752546325194,14,19,-1.161910816833684,0.30317444559559903,86
0.585,0.973,0.8388486429022556,0.0733,0.00676,5.21e-05,0.262,0.958,1.0742014464970078,-0.15048022473399125,42,42,0.3703212263124217,-0.41925885624205006,58
0.515,0.908,0.3857104794395892,0.0368,0.0158,1.88e-05,0.412,0.637,0.8138903612441345,-0.15048022473399125,47,52,0.5546085137778296,-0.3193688696389357,65
0.725,0.844,0.6310185380500072,0.0347,0.363,0.000716,0.125,0.711,-0.5298655897206385,-0.15048022473399125,46,46,-0.2490524539361343,-0.4834901509526572,63
0.634,0.587,-0.16964741726402593,0.03,0.271,0.0,0.165,0.623,-0.47254097441822585,1.9734152034405819,61,44,-0.8283243759153434,0.3093840789378459,76
